99105,509,BENGE,ADAMS,"Washington, WA",USA
99169,509,RITZVILLE,ADAMS,"Washington, WA",US
99341,509,LIND,ADAMS,"Washington, WA",US
99344,509,OTHELLO,ADAMS,"Washington, WA",US
99371,509,WASHTUCNA,ADAMS,"Washington, WA",US
99401,509,ANATONE,ASOTIN,"Washington, WA",US
99402,509,ASOTIN,ASOTIN,"Washington, WA",US
99403,509,CLARKSTON,ASOTIN,"Washington, WA",US
99320,509,BENTON CITY,BENTON,"Washington, WA",US
99336,509,KENNEWICK,BENTON,"Washington, WA",US
99337,509,KENNEWICK,BENTON,"Washington, WA",US
99338,509,KENNEWICK,BENTON,"Washington, WA",US
99345,509,PATERSON,BENTON,"Washington, WA",US
99346,509,PLYMOUTH,BENTON,"Washington, WA",US
99350,509,PROSSER,BENTON,"Washington, WA",US
99352,509,RICHLAND,BENTON,"Washington, WA",US
99353,509,WEST RICHLAND,BENTON,"Washington, WA",US
99354,509,RICHLAND,BENTON,"Washington, WA",US
98801,509,WENATCHEE,CHELAN,"Washington, WA",US
98807,509,WENATCHEE,CHELAN,"Washington, WA",US
98811,509,ARDENVOIR,CHELAN,"Washington, WA",US
98815,509,CASHMERE,CHELAN,"Washington, WA",US
98816,509,CHELAN,CHELAN,"Washington, WA",US
98817,509,CHELAN FALLS,CHELAN,"Washington, WA",US
98821,509,DRYDEN,CHELAN,"Washington, WA",US
98822,509,ENTIAT,CHELAN,"Washington, WA",US
98826,360,LEAVENWORTH,CHELAN,"Washington, WA",US
98828,509,MALAGA,CHELAN,"Washington, WA",US
98831,509,MANSON,CHELAN,"Washington, WA",US
98836,509,MONITOR,CHELAN,"Washington, WA",US
98847,509,PESHASTIN,CHELAN,"Washington, WA",US
98852,509,STEHEKIN,CHELAN,"Washington, WA",US
98305,360,BEAVER,CLALLAM,"Washington, WA",US
98324,360,CARLSBORG,CLALLAM,"Washington, WA",US
98326,360,CLALLAM BAY,CLALLAM,"Washington, WA",US
98331,360,FORKS,CLALLAM,"Washington, WA",US
98343,360,JOYCE,CLALLAM,"Washington, WA",US
98350,360,LA PUSH,CLALLAM,"Washington, WA",US
98357,360,NEAH BAY,CLALLAM,"Washington, WA",US
98362,360,PORT ANGELES,CLALLAM,"Washington, WA",US
98363,360,PORT ANGELES,CLALLAM,"Washington, WA",US
98381,360,SEKIU,CLALLAM,"Washington, WA",US
98382,360,SEQUIM,CLALLAM,"Washington, WA",US
98601,360,AMBOY,CLARK,"Washington, WA",US
98604,360,BATTLE GROUND,CLARK,"Washington, WA",US
98606,360,BRUSH PRAIRIE,CLARK,"Washington, WA",US
98607,360,CAMAS,CLARK,"Washington, WA",US
98622,360,HEISSON,CLARK,"Washington, WA",US
98629,360,LA CENTER,CLARK,"Washington, WA",US
98642,360,RIDGEFIELD,CLARK,"Washington, WA",US
98660,360,VANCOUVER,CLARK,"Washington, WA",US
98661,360,VANCOUVER,CLARK,"Washington, WA",US
98662,360,VANCOUVER,CLARK,"Washington, WA",US
98663,360,VANCOUVER,CLARK,"Washington, WA",US
98664,360,VANCOUVER,CLARK,"Washington, WA",US
98665,360,VANCOUVER,CLARK,"Washington, WA",US
98666,360,VANCOUVER,CLARK,"Washington, WA",US
98667,360,VANCOUVER,CLARK,"Washington, WA",US
98668,360,VANCOUVER,CLARK,"Washington, WA",US
98671,360,WASHOUGAL,CLARK,"Washington, WA",US
98675,360,YACOLT,CLARK,"Washington, WA",US
98682,360,VANCOUVER,CLARK,"Washington, WA",US
98683,360,VANCOUVER,CLARK,"Washington, WA",US
98684,360,VANCOUVER,CLARK,"Washington, WA",US
98685,360,VANCOUVER,CLARK,"Washington, WA",US
98686,360,VANCOUVER,CLARK,"Washington, WA",US
98687,360,VANCOUVER,CLARK,"Washington, WA",US
99328,509,DAYTON,COLUMBIA,"Washington, WA",US
99359,509,STARBUCK,COLUMBIA,"Washington, WA",US
98581,360,RYDERWOOD,COWLITZ,"Washington, WA",US
98603,360,ARIEL,COWLITZ,"Washington, WA",US
98609,360,CARROLLS,COWLITZ,"Washington, WA",US
98611,360,CASTLE ROCK,COWLITZ,"Washington, WA",US
98616,360,COUGAR,COWLITZ,"Washington, WA",US
98625,360,KALAMA,COWLITZ,"Washington, WA",US
98626,360,KELSO,COWLITZ,"Washington, WA",US
98632,360,LONGVIEW,COWLITZ,"Washington, WA",US
